Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_20EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,20 EUR,
STR_50EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,50 EUR,
STR_100EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,100 EUR,
STR_200EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,200 EUR,
STR_500EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,500 EUR,
STR_5RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,5 RUB,
STR_10RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,10 RUB,
STR_50RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,50 RUB,
STR_100RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,100 RUB,
STR_200RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,200 RUB,
STR_500RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,500 RUB,
STR_1000RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,1000 RUB,
STR_2000RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,2000 RUB,
STR_5000RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,5000 RUB,
STR_USD_des,Remains of the US occupation before the outbreak of the epedemia.,Remains of the US occupation before the outbreak of the epedemia.,Pozůstatky z americké okupace před vypuknutím epidémie.,Überreste der US-Besatzung vor Ausbruch der Epidemie.,Остатки американской оккупации до вспышки эпидемии.,Pozostałości po okupacji amerykańskiej przed wybuchem epedemii.,Az Egyesült Államok megszállásának maradványai az epedémia kitörése előtt.,Resti dell'occupazione statunitense prima dello scoppio dell'epidemia.,Restos de la ocupación estadounidense antes del estallido de la epidemia.,Vestiges de l'occupation américaine avant le déclenchement de l'épidémie.,瘟疫爆發前美國占領的遺跡。,疫病が流行する前のアメリカ占領の名残。,Restos da ocupação americana antes do início da epedemia.,瘟疫爆发前美国占领的遗迹。,
STR_EUR_des,European money before the outbreak of the epedemia.,European money before the outbreak of the epedemia.,Evropské peníze které byly používány před vypuknutím epidémie.,Europäisches Geld vor Ausbruch der Epidemie.,Европейские деньги до начала эпидемии.,Europejskie pieniądze przed wybuchem epedemii.,Európai pénz az epedémia kitörése előtt.,Soldi europei prima dello scoppio dell'epidemia.,Dinero europeo antes del estallido de la epidemia.,Monnaie européenne avant le déclenchement de l'épidémie.,疫情爆發前的歐洲錢。,疫病が発生する前のヨーロッパのお金,Dinheiro europeu antes da eclosão da epedemia.,疫情爆发前的欧洲钱。,
STR_RUB_des,This Currency was used in Chernarus before the Disease. It is now only used for trading.,This Currency was used in Chernarus before the Disease. It is now only used for trading.,Peníze které byly používány v Chernarusi před vypuknutím epidemie. Momentálně jsou používány pouze k obchodním záležitostem.,Europäisches Geld vor Ausbruch der Epidemie.,Российские деньги до начала эпидемии.,Europejskie pieniądze przed wybuchem epedemii.,Európai pénz az epedémia kitörése előtt.,Soldi europei prima dello scoppio dell'epidemia.,Dinero europeo antes del estallido de la epidemia.,Cette monnaie était utilisée à Chernarus avant le déclenchement de l'épidémie. Elle est maintenant utilisée pour les échanges.,疫情爆發前的歐洲錢。,この通貨は、疫病が流行する前のチェルナルスで使われていた。現在はトレードにのみ利用されている。,Dinheiro europeu antes da eclosão da epedemia.,疫情爆发前的欧洲钱。,
STR_Wallet,Wallet,Wallet,Peněženka,Brieftasche,Кошелёк,Portfel,Pénztárca,Cartera,Billetera,Portefeuille,錢包,財布,Carteira,钱包,
STR_Wallet_des,Old wallet that can carry money,Old wallet that can carry money,Stará peněženka - která unese peníze,Alte Brieftasche - die Geld tragen kann,"Старый кошелёк, в котором можно носить деньги.",Stary portfel - który może przewozić pieniądze,Régi pénztárca - amely pénzt hordozhat,Vecchio portafoglio che può trasportare denaro,Billetera vieja que puede llevar dinero ,Vieux portefeuille qui peut transporter de l'argent,可以裝錢的舊錢包,古い財布。お金を持ち運べる。,Carteira velha que pode levar dinheiro,可以装钱的旧钱包,
tpm_insurance,INSURANCE,INSURANCE,POJIŠTĚNÍ,VERSICHERUNG,СТРАХОВАНИЕ,UBEZPIECZENIE,BIZTOSÍTÁS,ASSICURAZIONE,SEGURO,ASSURANCE,保險,保険,SEGURO,保险,
tpm_market,MARKET,MARKET,TRH,MARKT,РЫНОК,RYNEK,PIAC,MERCATO,MERCADO,MARCHÉ,市場,市場,MERCADO,市场,
tpm_required_qty,REQUIRED QUANTITY:,REQUIRED QUANTITY:,POŽADOVANÉ MNOŽSTVÍ:,BENÖTIGTE MENGE:,НЕОБХОДИМОЕ КОЛИЧЕСТВО:,WYMAGANA ILOŚĆ:,SZÜKSÉGES MENNYISÉG:,QUANTITÀ RICHIESTA:,CANTIDAD REQUERIDA:,QUANTITÉ REQUISE:,所需數量:,必要な数量:,QUANTIDADE REQUERIDA:,所需数量:,
tpm_cant_claim_insurance,YOU CAN'T CLAIM THE INSURANCE WITH THIS TRADER !,YOU CAN'T CLAIM THE INSURANCE WITH THIS TRADER !,U TOHOTO OBCHODNÍKA NEMŮŽETE POJIŠTĚNÍ UPLATŇOVAT. ,SIE KÖNNEN DIE VERSICHERUNG BEI DIESEM HÄNDLER NICHT BEANTRAGEN. ,ВЫ НЕ МОЖЕТЕ ЗАЯВИТЬ СТРАХОВКУ С ЭТИМ ТРЕЙДЕРОМ. ,NIE MOŻESZ DOCHODZIĆ UBEZPIECZENIA U TEGO PRZEDSIĘBIORCY. ,NEM IGÉNYELHETŐ A BIZTOSÍTÁST EZZEL A KERESKEDŐNŐL. ,NON PUOI RICHIEDERE L'ASSICURAZIONE CON QUESTO COMMERCIANTE. ,NO PUEDES RECLAMAR EL SEGURO EN ESTE COMERCIANTE. ,VOUS NE POUVEZ PAS DEMANDER L'ASSURANCE AVEC CE COMMERCANT. ,您不能向該交易者索取保險. ,このトレーダーで保険を請求することはできません,VOCÊ NÃO PODE REQUERER O SEGURO COM ESTE COMERCIANTE. ,您不能向该交易者索取保险.,
STR_DIM,A Gold DIM Coin,A Gold DIM Coin,Zlatá DIM mince. ,Eine goldene DIM-Münze. ,Золотая монета DIM. ,Złota moneta DIM. ,Egy arany DIM érme. ,Una moneta d'oro DIM. ,Una moneda DIM de oro. ,Une pièce DIM en or. ,一枚 DIM 硬幣. ,DIM金貨 ,Uma moeda de ouro DIM. ,一枚 DIM 硬币.,
STR_DIM_des,A gold DIM coin forged in the name of the king of the trading: Dmitri Medeleiv.,A gold DIM coin forged in the name of the king of the trading: Dmitri Medeleiv.,Zlatá DIM mince ukovaná na jméno krále obchodování: Dmitrije Medelejeva. ,"Eine goldene DIM-Münze, geschmiedet im Namen des Königs des Handels: Dmitri Medeleiv. ","Золотая монета DIM, отчеканенная на имя короля торговли Дмитрия Меделеева.. ",Złota moneta DIM wykuta na imię króla handlu: Dmitrija Medeleiv. ,"Egy arany DIM érme, amelyet a kereskedés királyának, Dmitrij Medelyjevnek a nevére kovácsoltak. ",Una moneta DIM d'oro forgiata in nome del re del commercio: Dmitri Medeleiv. ,Una moneda DIM de oro forjada a nombre del rey del comercio: Dmitri Medeleiv. ,Une pièce DIM en or forgée au nom du roi du négoce : Dmitri Medeleiv. ,以交易之王的名義鑄造的 DIM 金幣：Dmitri Medeleiv. ,トレード王の名の元に鍛造された金のDIMコイン：Dmitri Medeleiv. ,Uma moeda de ouro DIM forjada em nome do rei do comércio: Dmitri Medeleiv. ,以交易之王的名义铸造的 DIM 金币：Dmitri Medeleiv.,
tpb_bank_amount,BANK AMOUNT:,BANK AMOUNT:,BANKOVNÍ ČÁSTKA:. ,BANKBETRAG:. ,СУММА БАНКА:,KWOTA BANKOWA:. ,BANKÖSSZEG:. ,IMPORTO BANCARIO:. ,IMPORTE BANCARIO:. ,MONTANT BANCAIRE :. ,銀行金額：. ,預金残高:,VALOR DO BANCO:. ,银行金额：.,
tpb_transaction_amount,TRANSACTION AMOUNT:,TRANSACTION AMOUNT:,TRANSAKČNÍ ČÁSTKA:. ,TRANSAKTIONSHÖHE:. ,СУММА СДЕЛКИ:,SUMA TRANSAKCYJNA:. ,TRANZAKCIÓ ÖSSZEGE:. ,TOTALE DELLA TRANSAZIONE:. ,CANTIDAD DE TRANSACCIÓN:. ,MONTANT DE LA TRANSACTION:. ,交易金額：. ,取引金額:,VALOR DA TRANSAÇÃO:. ,交易金额：.,
tpb_player_amount,PLAYER AMOUNT:,,,,,,,,,,,所持金:,,
tpb_deposit,DEPOSIT,DEPOSIT,VKLAD. ,EINZAHLUNG. ,ДЕПОЗИТ. ,DEPOZYT. ,LETÉT. ,DEPOSITARE. ,DEPOSITAR. ,VERSER. ,訂金. ,預け入れ,DEPÓSITO. ,订金.,
tpb_withdraw,WITHDRAW,WITHDRAW,USTOUPIT. ,AUSZAHLUNG. ,СНЯТЬ СО СЧЕТА. ,WYCOFAĆ. ,VISSZAVONÁS. ,RITIRARE. ,RETIRAR. ,RETIRER. ,提取. ,引き出し,RETIRAR O. ,提取.,
tpb_copyid,COPY ID,COPY ID,ZKOPÍROVAT ID. ,ID KOPIEREN. ,КОПИРОВАТЬ ИДЕНТИФИКАТОР. ,KOPIUJ ID. ,AZONOSÍTÓ MÁSOLÁSA. ,COPIA ID. ,COPIAR DNI. ,COPIER ID. ,複製 ID. ,IDをコピー,CÓPIA ID. ,复制 ID.,
tpb_id_account,ID ACCOUNT:,ID ACCOUNT:,ID ÚČET:. ,ID-KONTO:. ,ИДЕНТИФИКАЦИОННЫЙ АККАУНТ:. ,ID KONTA:. ,ID FIÓK:. ,CONTO ID:. ,CUENTA DE IDENTIFICACIÓN:. ,COMPTE D'IDENTIFICATION :. ,身份證號：. ,アカウントID,CONTA DE IDENTIFICAÇÃO:. ,身份证号：.,
tpb_player_account,PLAYER ACCOUNT,PLAYER ACCOUNT,HRÁČSKÝ ÚČET. ,SPIELERKONTO. ,СЧЕТ ИГРОКА. ,KONTO GRACZA. ,JÁTÉKOS FIÓK. ,CONTO GIOCATORE. ,CUENTA DE JUGADOR. ,COMPTE JOUEUR. ,玩家賬戶. ,プレイヤーアカウント,CONTA DE JOGADOR. ,玩家账户.,
tpb_player_transfer,PLAYER TRANSFER,PLAYER TRANSFER,PŘESTUP HRÁČŮ. ,SPIELERTRANSFER. ,ПЕРЕДАЧА ИГРОКА. ,TRANSFER GRACZY. ,JÁTÉKOS ÁTVÉTEL. ,TRASFERIMENTO GIOCATORI. ,TRANSFERENCIA A JUGADOR. ,TRANSFERT DE JOUEUR. ,球員轉會. ,プレイヤー間送金,TRANSFERÊNCIA DE JOGADOR. ,球员转会.,
tpb_fees,FEES,FEES,POPLATKY. ,GEBÜHREN. ,СБОРЫ. ,OPŁATY. ,DÍJAK. ,COMMISSIONI. ,COMISIÓN. ,FRAIS. ,費用. ,手数料,HONORÁRIOS. ,费用.,
tpb_transfer,TRANSFER,TRANSFER,PŘEVOD. ,TRANSFER. ,ПЕРЕДАЧА. ,PRZENOSIĆ. ,ÁTRUHÁZÁS. ,TRASFERIMENTO. ,TRANSFERIR. ,TRANSFERT. ,轉移. ,振込,TRANSFERIR. ,转移.,
tpb_transfer_amount,TRANSFER AMOUNT:,TRANSFER AMOUNT:,PŘEVODOVÁ ČÁSTKA:. ,ÜBERWEISUNGSBETRAG:. ,СУММА ПЕРЕВОДА:. ,KWOTA PRZELEWU:. ,AZ ÁTUTALÁS ÖSSZEGE:. ,IMPORTO DEL TRASFERIMENTO:. ,MONTO DE LA TRANSFERENCIA:. ,MONTANT DU TRANSFERT:. ,轉賬金額：. ,振込金額:,VALOR DA TRANSFERÊNCIA:. ,转账金额：.,
tpb_max,MAX:,MAX:,MAX:. ,MAX:. ,МАКСИМУМ:. ,MAX:. ,MAX:. ,MASSIMO:. ,MÁX:. ,MAX :. ,最大限度：. ,預金上限:,MÁX.:. ,最大限度：.,
tpb_number_only,ONLY NUMBER !,ONLY NUMBER !,POUZE ČÍSLO. ,NUR NUMMER. ,ТОЛЬКО НОМЕР. ,TYLKO NUMER. ,CSAK SZÁM. ,SOLO NUMERO. ,ÚNICO NÚMERO. ,SEUL NOMBRE. ,只有數字. ,数字のみ入力,APENAS NÚMERO. ,只有数字.,
tpb_over_max,OVER MAX !,OVER MAX !,NAD MAX. ,ÜBER MAX. ,БОЛЕЕ МАКС.. ,PONAD MAX. ,MAX. FELETT. ,OLTRE MAX. ,LIMITE MÁX.,AU-DESSUS DU MAX. ,超過最大值. ,預金上限を超えています,ACIMA DO MÁX.. ,超过最大值.,
tpm_bank_menu,Bank Menu,Bank Menu,Menu banky.,Bankmenü.,Меню банка.,Menu bankowe.,Bank menü.,Menù Banca.,Menú del banco.,Menu Banque.,銀行菜單.,バンキングメニュー,Menu do banco.,银行菜单.,
